iter	Passed	Remaining
0	90	90045
1	92	46120
2	96	31955
3	99	24676
4	103	20512
5	107	17734
6	112	15977
7	116	14468
8	120	13247
9	123	12203
10	126	11402
11	129	10653
12	132	10091
13	135	9533
14	138	9105
15	142	8752
16	145	8392
17	148	8101
18	150	7766
19	152	7485
20	155	7232
21	157	6987
22	158	6752
23	161	6579
24	164	6400
25	166	6220
26	168	6064
27	170	5917
28	172	5773
29	174	5634
30	177	5543
31	179	5423
32	180	5301
33	183	5220
34	185	5127
35	187	5026
36	190	4954
37	192	4874
38	194	4789
39	196	4711
40	199	4663
41	201	4589
42	202	4516
43	205	4456
44	207	4411
45	209	4349
46	212	4313
47	215	4269
48	217	4217
49	220	4184
50	222	4141
51	224	4088
52	226	4039
53	228	3998
54	230	3964
55	232	3919
56	235	3887
57	237	3854
58	239	3817
59	241	3790
60	244	3762
61	246	3725
62	248	3693
63	251	3674
64	253	3641
65	255	3611
66	258	3593
67	259	3555
68	261	3527
69	263	3503
70	266	3485
71	268	3455
72	271	3447
73	273	3422
74	275	3394
75	277	3374
76	279	3353
77	281	3329
78	284	3311
79	286	3289
80	288	3269
81	289	3243
82	292	3231
83	294	3214
84	296	3188
85	297	3165
86	299	3143
87	301	3128
88	303	3109
89	305	3093
90	308	3081
91	310	3061
92	312	3045
93	314	3031
94	316	3018
95	318	2999
96	320	2987
97	323	2977
98	325	2962
99	328	2952
100	330	2941
101	331	2919
102	333	2902
103	335	2894
104	338	2884
105	340	2870
106	342	2857
107	344	2845
108	346	2834
109	348	2819
110	350	2808
111	353	2799
112	354	2786
113	356	2772
114	359	2765
115	361	2752
116	363	2739
117	368	2751
118	369	2734
119	371	2721
120	373	2714
121	375	2705
122	377	2688
123	379	2680
124	382	2674
125	384	2664
126	385	2652
127	387	2639
128	389	2631
129	391	2621
130	393	2611
131	396	2606
132	398	2595
133	402	2600
134	405	2600
135	407	2590
136	410	2584
137	412	2575
138	414	2565
139	416	2556
140	418	2548
141	420	2540
142	422	2529
143	424	2521
144	426	2517
145	428	2508
146	431	2501
147	433	2495
148	436	2490
149	437	2481
150	440	2474
151	442	2466
152	443	2457
153	446	2452
154	448	2447
155	450	2438
156	453	2433
157	455	2425
158	457	2419
159	459	2414
160	462	2409
161	464	2402
162	466	2394
163	468	2389
164	471	2385
165	473	2376
166	475	2370
167	477	2362
168	479	2355
169	480	2347
170	482	2340
171	485	2336
172	486	2327
173	488	2319
174	491	2315
175	493	2309
176	495	2302
177	497	2297
178	499	2291
179	501	2284
180	502	2273
181	504	2267
182	508	2269
183	510	2261
184	512	2255
185	515	2254
186	516	2247
187	518	2241
188	522	2242
189	524	2235
190	527	2235
191	530	2233
192	532	2227
193	535	2225
194	537	2220
195	539	2214
196	541	2207
197	543	2202
198	546	2198
199	548	2192
200	550	2189
201	553	2186
202	555	2179
203	557	2175
204	559	2171
205	561	2164
206	563	2159
207	565	2154
208	567	2149
209	569	2142
210	571	2138
211	574	2134
212	576	2128
213	578	2123
214	580	2118
215	582	2114
216	584	2109
217	586	2104
218	588	2100
219	590	2094
220	592	2088
221	594	2083
222	596	2079
223	598	2073
224	600	2067
225	602	2063
226	604	2058
227	606	2052
228	608	2049
229	611	2045
230	613	2040
231	614	2035
232	616	2030
233	619	2026
234	621	2021
235	622	2015
236	625	2012
237	626	2006
238	628	2000
239	629	1994
240	632	1991
241	634	1986
242	635	1981
243	638	1977
244	640	1972
245	642	1967
246	643	1962
247	646	1959
248	648	1955
249	649	1949
250	651	1943
251	653	1940
252	656	1939
253	660	1939
254	662	1936
255	664	1932
256	666	1928
257	669	1924
258	671	1920
259	672	1915
260	675	1911
261	677	1908
262	679	1904
263	681	1900
264	684	1897
265	686	1893
266	687	1888
267	690	1885
268	692	1882
269	694	1877
270	696	1873
271	698	1869
272	700	1865
273	702	1860
274	704	1857
275	706	1853
276	708	1849
277	710	1844
278	713	1843
279	715	1839
280	716	1834
281	719	1831
282	721	1827
283	722	1822
284	724	1817
285	726	1814
286	729	1811
287	731	1807
288	732	1802
289	734	1799
290	736	1795
291	738	1790
292	739	1785
293	742	1782
294	744	1779
295	746	1775
296	748	1771
297	750	1768
298	752	1764
299	754	1759
300	756	1756
301	758	1753
302	760	1748
303	761	1744
304	765	1743
305	767	1740
306	768	1735
307	770	1731
308	772	1728
309	775	1725
310	777	1721
311	779	1719
312	782	1716
313	785	1716
314	788	1715
315	790	1710
316	791	1706
317	794	1703
318	796	1700
319	798	1695
320	799	1691
321	801	1688
322	804	1685
323	805	1681
324	807	1677
325	809	1674
326	812	1671
327	813	1667
328	816	1665
329	818	1661
330	820	1658
331	822	1654
332	824	1651
333	826	1648
334	828	1644
335	830	1641
336	832	1638
337	834	1634
338	836	1630
339	838	1627
340	840	1624
341	842	1621
342	844	1618
343	847	1615
344	849	1612
345	851	1608
346	853	1606
347	855	1602
348	856	1598
349	858	1594
350	860	1590
351	862	1587
352	863	1583
353	865	1580
354	868	1577
355	870	1574
356	872	1571
357	877	1573
358	879	1569
359	881	1567
360	883	1564
361	885	1561
362	887	1557
363	890	1556
364	892	1553
365	894	1550
366	897	1548
367	900	1546
368	902	1542
369	905	1541
370	907	1538
371	909	1534
372	911	1531
373	914	1531
374	916	1528
375	919	1526
376	922	1524
377	924	1520
378	925	1517
379	927	1513
380	930	1511
381	931	1507
382	933	1504
383	936	1502
384	938	1498
385	940	1495
386	943	1493
387	944	1490
388	946	1486
389	948	1484
390	951	1481
391	952	1478
392	955	1475
393	956	1471
394	958	1468
395	960	1464
396	962	1461
397	964	1459
398	966	1455
399	968	1452
400	969	1448
401	972	1446
402	973	1442
403	975	1439
404	978	1436
405	980	1434
406	982	1430
407	983	1427
408	986	1426
409	989	1423
410	990	1419
411	993	1417
412	995	1414
413	997	1411
414	999	1408
415	1001	1405
416	1003	1402
417	1005	1399
418	1007	1397
419	1010	1394
420	1011	1391
421	1013	1387
422	1015	1385
423	1017	1382
424	1019	1379
425	1021	1376
426	1023	1373
427	1025	1371
428	1027	1367
429	1029	1365
430	1032	1363
431	1034	1360
432	1037	1358
433	1040	1356
434	1042	1354
435	1045	1352
436	1047	1350
437	1049	1346
438	1051	1343
439	1053	1341
440	1056	1338
441	1057	1335
442	1060	1333
443	1063	1331
444	1065	1328
445	1067	1325
446	1070	1324
447	1072	1321
448	1074	1319
449	1077	1316
450	1079	1313
451	1081	1310
452	1083	1308
453	1086	1306
454	1087	1303
455	1090	1300
456	1092	1298
457	1094	1294
458	1096	1292
459	1098	1289
460	1100	1286
461	1102	1283
462	1105	1281
463	1107	1279
464	1109	1276
465	1112	1274
466	1114	1272
467	1116	1269
468	1118	1266
469	1121	1264
470	1123	1261
471	1124	1258
472	1127	1255
473	1129	1253
474	1131	1250
475	1133	1247
476	1135	1245
477	1137	1242
478	1139	1239
479	1141	1236
480	1144	1234
481	1145	1231
482	1147	1228
483	1150	1226
484	1152	1224
485	1154	1221
486	1157	1219
487	1159	1216
488	1161	1213
489	1164	1212
490	1166	1209
491	1168	1206
492	1170	1203
493	1173	1202
494	1175	1198
495	1176	1195
496	1179	1193
497	1181	1191
498	1183	1187
499	1185	1185
500	1187	1183
501	1189	1179
502	1190	1176
503	1193	1174
504	1195	1172
505	1197	1169
506	1199	1166
507	1202	1164
508	1204	1161
509	1205	1158
510	1208	1156
511	1210	1153
512	1212	1151
513	1214	1148
514	1217	1146
515	1219	1143
516	1221	1141
517	1224	1139
518	1226	1136
519	1227	1133
520	1230	1131
521	1232	1128
522	1234	1125
523	1236	1123
524	1239	1121
525	1240	1118
526	1242	1115
527	1245	1113
528	1247	1110
529	1248	1107
530	1250	1104
531	1253	1102
532	1255	1099
533	1257	1097
534	1260	1095
535	1262	1093
536	1265	1091
537	1268	1088
538	1270	1086
539	1272	1083
540	1274	1081
541	1276	1078
542	1278	1076
543	1285	1077
544	1287	1074
545	1293	1075
546	1299	1075
547	1304	1076
548	1306	1073
549	1309	1071
550	1312	1069
551	1313	1066
552	1317	1065
553	1320	1063
554	1323	1061
555	1325	1058
556	1329	1057
557	1331	1054
558	1333	1052
559	1335	1049
560	1338	1047
561	1341	1045
562	1343	1042
563	1345	1040
564	1347	1037
565	1349	1035
566	1351	1032
567	1356	1031
568	1358	1028
569	1361	1026
570	1363	1024
571	1365	1022
572	1368	1019
573	1370	1017
574	1372	1014
575	1374	1011
576	1377	1009
577	1379	1007
578	1382	1005
579	1385	1003
580	1387	1000
581	1389	997
582	1392	995
583	1394	993
584	1396	990
585	1399	988
586	1401	986
587	1403	983
588	1406	981
589	1408	978
590	1410	976
591	1412	973
592	1415	971
593	1416	968
594	1418	965
595	1421	963
596	1423	961
597	1427	959
598	1430	957
599	1432	955
600	1436	953
601	1438	951
602	1441	948
603	1445	947
604	1447	944
605	1449	942
606	1452	940
607	1454	937
608	1455	934
609	1458	932
610	1460	929
611	1462	926
612	1463	924
613	1466	921
614	1468	919
615	1470	916
616	1472	914
617	1475	912
618	1477	909
619	1480	907
620	1482	904
621	1484	901
622	1486	899
623	1488	897
624	1490	894
625	1493	892
626	1495	889
