iter	Passed	Remaining
0	2	2110
1	6	3460
2	8	2958
3	10	2700
4	13	2781
5	15	2586
6	17	2464
7	19	2468
8	22	2437
9	23	2338
10	25	2298
11	29	2420
12	31	2378
13	33	2335
14	35	2351
15	38	2344
16	40	2313
17	42	2320
18	44	2318
19	46	2278
20	48	2280
21	51	2268
22	53	2252
23	55	2265
24	58	2264
25	59	2231
26	61	2216
27	65	2259
28	67	2253
29	69	2258
30	72	2250
31	73	2233
32	76	2233
33	78	2229
34	80	2211
35	81	2191
36	84	2206
37	87	2207
38	89	2205
39	92	2215
40	95	2227
41	97	2216
42	99	2222
43	101	2205
44	103	2187
45	104	2171
46	106	2167
47	108	2152
48	109	2134
49	111	2122
50	114	2126
51	115	2113
52	118	2109
53	122	2142
54	124	2139
55	127	2146
56	129	2148
57	131	2138
58	133	2130
59	136	2136
60	138	2130
61	140	2123
62	143	2138
63	152	2227
64	155	2236
65	157	2233
66	160	2228
67	162	2224
68	164	2224
69	166	2216
70	168	2210
71	171	2212
72	173	2207
73	176	2208
74	180	2224
75	182	2223
76	186	2231
77	191	2260
78	193	2260
79	195	2250
80	202	2296
81	206	2316
82	208	2300
83	211	2301
84	213	2295
85	217	2309
86	221	2328
87	225	2340
88	229	2344
89	231	2336
90	244	2446
91	251	2482
92	255	2487
93	267	2574
94	277	2645
95	284	2680
96	296	2762
97	303	2794
98	306	2789
99	310	2798
100	313	2786
101	316	2789
102	320	2787
103	324	2795
104	326	2783
105	334	2817
106	344	2871
107	356	2944
108	363	2971
109	366	2965
110	368	2953
111	371	2947
112	375	2950
113	378	2944
114	383	2955
115	387	2950
116	389	2938
117	415	3108
118	422	3124
119	424	3112
120	428	3109
121	430	3097
122	432	3083
123	437	3087
124	442	3100
125	445	3092
126	451	3101
127	458	3125
128	467	3153
129	477	3193
130	494	3279
131	497	3273
132	500	3263
133	504	3258
134	506	3247
135	514	3268
136	517	3256
137	521	3259
138	530	3286
139	544	3342
140	548	3339
141	549	3321
142	552	3309
143	555	3305
144	560	3302
145	563	3294
146	567	3290
147	569	3278
148	573	3277
149	577	3273
150	581	3268
151	586	3272
152	588	3260
153	594	3264
154	596	3251
155	601	3254
156	606	3256
157	609	3246
158	613	3247
159	619	3251
160	621	3241
161	625	3237
162	633	3252
163	637	3247
164	639	3235
165	641	3222
166	645	3218
167	649	3217
168	653	3215
169	656	3205
170	659	3198
171	662	3190
172	667	3191
173	669	3180
174	673	3174
175	676	3165
176	678	3155
177	681	3148
178	684	3137
179	689	3139
180	693	3137
